antibody,ensembl_ids,gene_names,atlas_name,locations,n_location
HPA040058,ENSG00000128915,ICE2,U-2 OS,"Nuclear bodies,Nucleoplasm",2
HPA073963,ENSG00000125877,ITPA,U-2 OS,Cytosol,1
HPA002997,ENSG00000149357,LAMTOR1,U-2 OS,"Golgi apparatus,Vesicles",2
HPA004126,ENSG00000116586,LAMTOR2,U-2 OS,"Nucleoplasm,Vesicles",2
HPA020998,ENSG00000188186,LAMTOR4,U-2 OS,Vesicles,1
HPA006812,ENSG00000134248,LAMTOR5,U-2 OS,Cytosol,1
HPA038400,ENSG00000148481,MINDY3,U-2 OS,"Nuclear membrane,Nucleoplasm",2
HPA047027,"ENSG00000122824,ENSG00000173598,ENSG00000177144,ENSG00000196368,ENSG00000270800,ENSG00000272325","NUDT10,NUDT11,NUDT3,NUDT4,NUDT4B,RPS10-NUDT3",U-2 OS,Cytosol,1
HPA068394,ENSG00000162073,PAQR4,U-2 OS,Vesicles,1
HPA076729,ENSG00000137819,PAQR5,U-2 OS,Vesicles,1
HPA046936,ENSG00000182749,PAQR7,U-2 OS,Cytosol,1
HPA064625,ENSG00000170915,PAQR8,U-2 OS,Plasma membrane,1
HPA005792,ENSG00000183036,PCP4,U-2 OS,"Nucleoli fibrillar center,Nucleoplasm",2
HPA052833,ENSG00000248485,PCP4L1,U-2 OS,"Mitochondria,Nucleoplasm",2
HPA049388,ENSG00000090470,PDCD7,U-2 OS,Plasma membrane,1
HPA070386,ENSG00000090857,PDPR,U-2 OS,Mitochondria,1
HPA035931,ENSG00000171566,PLRG1,U-2 OS,Nuclear speckles,1
HPA019357,ENSG00000084072,PPIE,U-2 OS,Nuclear speckles,1
HPA043837,ENSG00000149923,PPP4C,U-2 OS,"Cytosol,Nucleoplasm,Plasma membrane",3
HPA039837,ENSG00000163605,PPP4R2,U-2 OS,Nucleoplasm,1
HPA063917,ENSG00000100796,PPP4R3A,U-2 OS,Nucleoplasm,1
HPA001233,ENSG00000275052,PPP4R3B,U-2 OS,Nucleoplasm,1
HPA041866,ENSG00000119698,PPP4R4,U-2 OS,Cytosol,1
HPA019360,ENSG00000113593,PPWD1,U-2 OS,Nuclear bodies,1
HPA051146,ENSG00000128563,PRKRIP1,U-2 OS,"Actin filaments,Cytosol",2
CAB012448,ENSG00000110107,PRPF19,U-2 OS,Nuclear speckles,1
HPA067116,ENSG00000117360,PRPF3,U-2 OS,Nucleoplasm,1
HPA053099,ENSG00000134748,PRPF38A,U-2 OS,Nucleoplasm,1
HPA001176,ENSG00000185246,PRPF39,U-2 OS,Nucleoplasm,1
CAB009941,ENSG00000174231,PRPF8,U-2 OS,Nucleoplasm,1
HPA002834,ENSG00000095303,PTGS1,U-2 OS,"Golgi apparatus,Vesicles",2
HPA034972,ENSG00000182872,RBM10,U-2 OS,Nuclear speckles,1
HPA037478,ENSG00000134453,RBM17,U-2 OS,Nucleoplasm,1
HPA001634,ENSG00000086589,RBM22,U-2 OS,Nucleoplasm,1
HPA017335,ENSG00000003756,RBM5,U-2 OS,Nucleoplasm,1
HPA052434,ENSG00000185946,RNPC3,U-2 OS,Nucleoplasm,1
HPA048084,"ENSG00000124614,ENSG00000270800","RPS10,RPS10-NUDT3",U-2 OS,Cytosol,1
HPA003734,"ENSG00000083750,ENSG00000155876","RRAGA,RRAGB",U-2 OS,"Golgi apparatus,Vesicles",2
HPA055489,ENSG00000116954,RRAGC,U-2 OS,"Nucleoplasm,Vesicles",2
HPA031188,ENSG00000175467,SART1,U-2 OS,Nuclear speckles,1
HPA070409,ENSG00000109618,SEPSECS,U-2 OS,"Cytosol,Vesicles",2
HPA057999,ENSG00000170364,SETMAR,U-2 OS,Nucleoli,1
HPA050275,ENSG00000115524,SF3B1,U-2 OS,Nuclear speckles,1
