filename,if_plate_id,position,sample,status,locations,antibody,ensembl_ids,gene_names
/archive/1102/1102_D5_4_,1102,D5,4,35,"Micronucleus,Nuclear membrane,Nucleoplasm",HPA061486,ENSG00000171566,PLRG1
/archive/1102/1102_D5_7_,1102,D5,7,30,"Micronucleus,Nuclear membrane,Nucleoplasm",HPA061486,ENSG00000171566,PLRG1
/archive/1103/1103_B2_1_,1103,B2,1,35,Nucleoplasm,HPA060530,ENSG00000160799,CCDC12
/archive/1103/1103_B2_2_,1103,B2,2,35,Nucleoplasm,HPA060530,ENSG00000160799,CCDC12
/archive/1105/1105_H2_1_,1105,H2,1,35,"Nucleoli,Nucleoplasm",HPA039037,ENSG00000174243,DDX23
/archive/1105/1105_H2_2_,1105,H2,2,35,"Nucleoli,Nucleoplasm",HPA039037,ENSG00000174243,DDX23
/archive/1130/1130_E2_1_,1130,E2,1,35,"Actin filaments,Cytosol",HPA051791,ENSG00000176714,CCDC121
/archive/1130/1130_E2_2_,1130,E2,2,35,"Actin filaments,Cytosol",HPA051791,ENSG00000176714,CCDC121
/archive/1130/1130_H9_1_,1130,H9,1,35,Vesicles,HPA061702,ENSG00000177058,SLC38A9
/archive/1130/1130_H9_2_,1130,H9,2,35,Vesicles,HPA061702,ENSG00000177058,SLC38A9
/archive/1132/1132_A3_1_,1132,A3,1,35,Cytokinetic bridge,HPA023131,ENSG00000250571,GLI4
/archive/1132/1132_A3_3_,1132,A3,3,35,Cytokinetic bridge,HPA023131,ENSG00000250571,GLI4
/archive/1141/1141_E7_1_,1141,E7,1,35,Nuclear bodies,HPA062700,ENSG00000101452,DHX35
/archive/1141/1141_E7_2_,1141,E7,2,35,Nuclear bodies,HPA062700,ENSG00000101452,DHX35
/archive/1199/1199_F9_1_,1199,F9,1,35,Nucleoplasm,HPA063917,ENSG00000100796,PPP4R3A
/archive/1199/1199_F9_2_,1199,F9,2,35,Nucleoplasm,HPA063917,ENSG00000100796,PPP4R3A
/archive/1209/1209_B1_1_,1209,B1,1,35,Nuclear speckles,HPA064660,ENSG00000143368,SF3B4
/archive/1209/1209_B1_2_,1209,B1,2,35,Nuclear speckles,HPA064660,ENSG00000143368,SF3B4
/archive/1211/1211_B11_1_,1211,B11,1,35,Nucleoplasm,HPA067116,ENSG00000117360,PRPF3
/archive/1211/1211_B11_2_,1211,B11,2,35,Nucleoplasm,HPA067116,ENSG00000117360,PRPF3
